
posicao: 0, cidades:
15201, 31, Conceição da Barra de Minas
14501, 31, Carmópolis de Minas
13701, 31, Carlos Chagas
12901, 31, Caputira
11101, 31, Campina Verde
10301, 31, Caldas
9501, 31, Cabo Verde
9451, 31, Cabeceira Grande
8701, 31, Brás Pires
7901, 31, Bom Repouso
6101, 31, Belmiro Braga
5301, 31, Bandeira do Sul
4601, 31, Astolfo Dutra
3801, 31, Arapuá
3751, 31, Araporã
2001, 31, Alterosa
1201, 31, Aiuruoca
401, 31, Acaiaca
32101, 29, Ubaíra
31301, 29, Tapiramutá
30501, 29, Serrinha
29701, 29, Sátiro Dias
28901, 29, São Desidério
27101, 29, Rodelas
26301, 29, Riachão do Jacuípe
25501, 29, Prado
24801, 29, Piritiba
23001, 29, Nova Viçosa
22201, 29, Muniz Ferreira
21401, 29, Mirangaba
20601, 29, Maragogipe
19926, 29, Madre de Deus
19801, 29, Macaúbas
18001, 29, Jequié
17201, 29, Ituaçu
16401, 29, Itapetinga
15601, 29, Itamaraju
14901, 29, Itacaré
13101, 29, Ibititá
12301, 29, Ibicuí
11501, 29, Gongogi
10776, 29, Feira da Mata
10701, 29, Euclides da Cunha
9901, 29, Curaçá
8101, 29, Cocos
7301, 29, Castro Alves
6501, 29, Candeias
5701, 29, Camaçari
4001, 29, Boninal
3276, 29, Barrocas
3201, 29, Barreiras
2401, 29, Aurelino Leal
1601, 29, Antas
801, 29, Alcobaça
7501, 28, Tomar do Geru
6701, 28, São Cristóvão
5901, 28, Riachuelo
4201, 28, Monte Alegre de Sergipe
3401, 28, Japoatã
2601, 28, Gracho Cardoso
9301, 27, União dos Palmares
8501, 27, São Luís do Quitunde
7701, 27, Rio Largo
6901, 27, Pilar
5101, 27, Matriz de Camaragibe
4401, 27, Major Isidoro
3601, 27, Japaratinga
2801, 27, Flexeiras
1001, 27, Boca da Mata
201, 27, Anadia
16001, 26, Venturosa
15201, 26, Terra Nova
14501, 26, Surubim
13701, 26, São Lourenço da Mata
12901, 26, São Benedito do Sul
11101, 26, Petrolina
10301, 26, Paranatama
9501, 26, Nazaré da Mata
8701, 26, Lagoa dos Gatos
7901, 26, Jaboatão dos Guararapes
6101, 26, Glória do Goitá
5301, 26, Exu
4601, 26, Condado
3926, 26, Carnaubeira da Penha
3801, 26, Capoeiras
2001, 26, Bodocó
1201, 26, Arcoverde
401, 26, Água Preta
17001, 25, Umbuzeiro
16201, 25, Sousa
16151, 25, Sossêgo
15401, 25, São Vicente do Seridó
14701, 25, São José do Sabugi
14651, 25, São José do Brejo do Cruz
13901, 25, São Bento
13851, 25, Santo André
12101, 25, Pombal
11301, 25, Piancó
10501, 25, Olivedos
9701, 25, Monteiro
8901, 25, Mamanguape
7101, 25, Itapororoca
6301, 25, Guarabira
6251, 25, Gado Bravo
5501, 25, Vista Serrana
4801, 25, Coremas
3001, 25, Caaporã
2201, 25, Bom Jesus
2151, 25, Boa Vista
1401, 25, Baía da Traição
1351, 25, Assunção
601, 25, Alhandra
14001, 24, Tangará
13201, 24, Senador Georgino Avelino
12401, 24, São José do Seridó
11601, 24, São Bento do Norte
10801, 24, Riacho de Santana
8201, 24, Nísia Floresta
7401, 24, Martins
6601, 24, Lagoa Salgada
5801, 24, João Câmara
4101, 24, Galinhos
3301, 24, Encanto
3251, 24, Parnamirim
2501, 24, Carnaubais
1701, 24, Bom Jesus
1651, 24, Bodó
901, 24, Antônio Martins
13401, 23, Tianguá
13351, 23, Tejuçuoca
12601, 23, São Luís do Curu
11801, 23, Russas
10951, 23, Pires Ferreira
10001, 23, Palhano
9201, 23, Nova Olinda
8401, 23, Missão Velha
8351, 23, Milhã
7601, 23, Limoeiro do Norte
6801, 23, Jaguaribara
5001, 23, Guaraciaba do Norte
4301, 23, Farias Brito
4251, 23, Cruz
3501, 23, Cascavel
2701, 23, Campos Sales
1901, 23, Barbalha
1851, 23, Banabuiú
101, 23, Abaiara
11001, 22, Teresina
10201, 22, São José do Piauí
9401, 22, Santo Antônio de Lisboa
9351, 22, Santana do Piauí
8601, 22, Prata do Piauí
8551, 22, Porto Alegre do Piauí
7801, 22, Paulistana
7751, 22, Passagem Franca do Piauí
6951, 22, Novo Santo Antônio
6001, 22, Marcos Parente
5276, 22, Jatobá do Piauí
5201, 22, Jaicós
5151, 22, Jacobina do Piauí
4501, 22, Guadalupe
3701, 22, Esperantina
2901, 22, Corrente
2851, 22, Coronel José Dias
2251, 22, Canavieira
2026, 22, Buriti dos Montes
1176, 22, Barra D'Alcântara
1101, 22, Avelino Lopes
1051, 22, Assunção do Piauí
301, 22, Alto Longá
251, 22, Alagoinha do Piauí
12001, 21, Tasso Fragoso
11201, 21, São José de Ribamar
10401, 21, São Benedito do Rio Preto
9601, 21, Rosário
9551, 21, Ribamar Fiquene
8801, 21, Pirapemas
7001, 21, Montes Altos
6326, 21, Maracaçumé
6201, 21, Luís Domingues
5476, 21, Jenipapo dos Vieiras
5401, 21, Itapecuru Mirim
5351, 21, Itaipava do Grajaú
4701, 21, Graça Aranha
4651, 21, Governador Newton Bello
3901, 21, Duque Bacelar
2101, 21, Brejo
1301, 21, Bacuri
1251, 21, Bacabeira
501, 21, Alto Parnaíba
20101, 17, São Bento do Tocantins
18501, 17, Recursolândia
18451, 17, Pugmil
15101, 17, Novo Acordo
13601, 17, Monte do Carmo
12801, 17, Maurilândia do Tocantins
11951, 17, Lagoa do Tocantins
6001, 17, Couto Magalhães
3826, 17, Cachoeirinha
3701, 17, Brejinho de Nazaré
2901, 17, Axixá do Tocantins
